length,word_count,punctuation_count,upper_count,digit_count,special_char_count,has_url,has_email,has_currency,has_phone_number,has_smishing_words,entropy
46,12,3,3,0,3,0,0,0,0,1,4.191296466597354
37,7,1,1,0,1,0,0,0,0,1,3.698206150469663
104,22,2,3,0,2,0,0,0,0,1,4.050912846510847
24,6,2,1,0,2,0,0,0,0,1,3.803508854797679
28,5,1,1,0,1,0,0,0,0,1,3.967720100474499
47,9,1,1,1,1,0,0,0,0,1,3.956303415959259
24,5,0,8,0,0,0,0,0,0,0,3.9182958340544896
187,39,19,3,0,19,0,0,0,0,1,4.330327341540819
30,8,3,2,0,3,0,0,0,0,1,3.964735178725505
142,27,2,10,9,2,0,0,1,0,1,4.554825797212702
126,21,3,3,0,3,0,0,0,0,1,4.206668548260343
40,8,4,1,0,4,0,0,0,0,1,3.820950594454668
26,6,0,1,0,0,0,0,0,0,1,3.53257325750262
95,17,10,6,8,10,0,0,1,0,1,4.704538228000849
59,14,0,3,0,0,0,0,0,0,1,3.6601809079298384
33,7,1,2,0,1,0,0,0,0,1,3.980169407880764
65,12,1,2,1,1,0,0,0,0,1,4.026656356252808
152,31,7,24,23,7,1,0,0,1,1,4.858419414909156
150,27,7,16,3,7,0,0,0,0,1,4.635301184261298
29,5,1,1,0,1,0,0,0,0,1,3.64696666827365
160,35,5,106,14,5,0,0,1,0,1,4.377454050003879
105,19,8,4,8,8,0,0,0,0,1,4.644550473505015
109,24,11,1,0,11,0,0,0,0,1,3.967182308911244
43,10,1,3,0,1,0,0,0,0,0,3.855360684431524
94,17,0,3,0,0,0,0,0,0,1,4.112684001638538
69,13,1,3,0,1,0,0,0,0,1,4.109779485789256
38,7,2,1,0,2,0,0,0,0,1,3.850048158739277
159,31,3,5,23,3,0,0,1,0,1,4.461104885508712
58,12,2,7,0,2,0,0,0,0,1,4.239903901473015
57,12,7,2,0,7,0,0,0,0,1,4.147712602790859
61,13,1,2,0,1,0,0,0,0,1,4.027243338571826
51,12,4,2,0,4,0,0,0,0,0,4.071469646054936
85,19,4,3,0,4,0,0,0,0,1,4.035227415038893
27,5,2,1,0,2,0,0,0,0,1,3.6763906325796274
126,20,0,4,10,0,0,0,0,0,1,4.360507415576658
153,33,3,9,13,3,0,0,0,1,1,4.556674196432397
116,20,6,9,7,6,0,0,0,0,1,4.530840023522971
42,10,1,1,0,1,0,0,0,0,1,3.7433083521553945
126,20,7,2,0,7,0,0,0,0,1,4.176966735142328
161,36,4,8,0,4,0,0,0,0,1,4.292250012350667
132,24,5,5,19,5,0,0,0,1,1,4.71404552337723
152,28,7,6,0,7,0,0,0,0,1,4.251515938357702
28,5,1,1,0,1,0,0,0,0,0,3.7979026896829455
75,11,14,5,0,14,0,0,0,0,1,4.339955318192575
64,14,6,1,0,6,0,0,0,0,0,4.251060009501607
120,26,5,5,0,5,0,0,0,0,1,3.951800517951783
28,5,0,1,0,0,0,0,0,0,1,3.896291529045928
82,13,0,5,11,0,0,0,0,1,1,4.454474340158905
105,18,7,2,0,7,0,0,0,0,1,4.398515791723227
145,25,7,9,19,7,0,0,1,1,1,4.663419821409772
102,20,3,13,9,3,0,0,0,0,1,4.490888460281666
71,17,1,1,0,1,0,0,0,0,1,3.788635550859821
29,6,4,1,0,4,0,0,0,0,0,3.590571081259867
44,10,1,1,0,1,0,0,0,0,1,3.858398164685606
126,26,9,43,10,9,0,0,0,0,1,5.0051092150325776
37,7,2,2,0,2,0,0,0,0,0,3.982856663324784
97,20,6,2,0,6,0,0,0,0,1,4.178813056609668
36,8,2,2,0,2,0,0,0,0,0,3.7390979179887855
156,31,9,4,1,9,0,0,0,0,1,4.182268642794085
88,15,5,3,0,5,0,0,0,0,1,4.238500545952933
59,14,1,1,0,1,0,0,0,0,1,3.821801357985599
52,9,2,2,0,2,0,0,0,0,1,4.0796575078046695
44,9,1,2,0,1,0,0,0,0,1,3.837066209881522
46,10,3,2,1,3,0,0,0,0,0,4.009458901888652
121,24,3,13,0,3,0,0,0,0,1,4.38126892390809
130,25,2,7,14,2,0,0,0,1,1,4.402272784433537
32,6,6,2,0,6,0,0,0,0,1,3.8164280318460246
119,26,5,15,0,5,0,0,0,0,1,4.4654836801372415
49,11,1,2,0,1,0,0,0,0,0,3.945045812928982
58,10,2,2,0,2,0,0,0,0,1,4.0594833248056
8,1,1,1,0,1,0,0,0,0,0,2.4056390622295662
151,23,6,8,0,6,0,0,0,0,1,4.446700541154191
97,23,6,2,1,6,0,0,0,0,1,3.978218847255085
24,4,1,1,0,1,0,0,0,0,1,3.688721875540868
231,45,10,4,0,10,0,0,0,0,1,4.306575889183166
158,32,17,36,0,17,0,0,0,0,1,4.93157101019416
28,7,3,2,0,3,0,0,0,0,0,3.838804369244613
44,10,2,2,0,2,0,0,0,0,1,3.9868409931947695
157,25,4,4,16,4,0,0,0,1,1,4.548049772131097
56,10,3,3,0,3,0,0,0,0,1,3.971462065799128
47,8,3,1,0,3,0,0,0,0,1,3.984919968468757
9,2,3,1,0,3,0,0,0,0,0,2.6416041678685938
160,30,8,22,13,8,0,0,0,1,1,4.899081521293756
157,26,2,15,33,2,0,0,0,1,1,4.78691696182672
117,28,5,3,1,5,0,0,0,0,1,4.073049455548842
71,17,4,4,0,4,0,0,0,0,1,4.223170889023407
43,8,1,1,0,1,0,0,0,0,0,3.7277633026170425
27,7,1,1,1,1,0,0,0,0,1,3.4858259278490102
70,12,3,3,0,3,0,0,0,0,1,4.267591441066385
34,9,3,3,0,3,0,0,0,0,1,4.197325708706504
28,5,0,1,0,0,0,0,0,0,1,3.735926350629033
156,31,11,7,5,11,1,0,0,0,1,4.493511603975331
34,8,0,2,0,0,0,0,0,0,0,3.7003669748171
39,9,2,2,0,2,0,0,0,0,1,3.656946449520532
61,12,2,1,0,2,0,0,0,0,0,4.089875390636037
119,23,4,3,0,4,0,0,0,0,1,4.194400247425858
47,8,2,2,1,2,0,0,0,0,1,4.117869970074861
79,17,6,2,0,6,0,0,0,0,0,4.108842894806752
25,7,0,1,0,0,0,0,0,0,0,3.513269689515108
148,26,8,4,0,8,0,0,0,0,1,4.2559912949828975
94,21,6,3,0,6,0,0,0,0,1,4.239482469752642
26,5,4,1,0,4,0,0,0,0,1,3.979097891134804
152,27,7,6,0,7,0,0,0,0,1,4.303772343980978
149,26,6,28,35,6,0,0,1,1,1,5.073960384006103
40,9,2,2,3,2,0,0,0,0,1,4.134183719779188
82,19,2,4,0,2,0,0,0,0,1,3.97439313031134
76,14,6,7,0,6,0,0,0,0,1,4.372804561736452
50,12,3,2,0,3,0,0,0,0,1,3.8880471909383054
51,12,2,1,0,2,0,0,0,0,1,4.177546303588605
78,19,2,3,1,2,0,0,0,0,1,4.176140286286439
142,24,3,1,0,3,0,0,0,0,1,4.1341587003414615
58,13,6,2,1,6,0,0,0,0,0,3.782056374542952
136,26,12,11,9,12,0,0,0,0,1,4.555074379053753
27,6,2,1,1,2,0,0,0,0,1,3.95822916866988
143,25,1,18,17,1,0,0,0,1,1,4.625339567576308
46,10,2,2,0,2,0,0,0,0,0,3.8683670541566295
60,12,7,3,1,7,0,0,0,0,1,3.9560994911968312
42,9,4,3,0,4,0,0,0,0,1,3.927798970294786
150,29,9,3,1,9,0,0,0,0,1,4.099426273077301
116,25,4,3,0,4,0,0,0,0,1,4.074668040471581
126,20,0,4,10,0,0,0,0,1,1,4.360507415576658
26,5,1,1,0,1,0,0,0,0,1,3.8252517372886503
297,56,26,11,0,26,0,0,0,0,1,4.363483150151627
35,7,1,1,0,1,0,0,0,0,1,3.760250246633719
29,7,1,1,0,1,0,0,0,0,0,3.5780011510322707
24,7,2,2,0,2,0,0,0,0,0,3.736440501696145
103,25,6,3,0,6,0,0,0,0,1,4.020469750910607
59,14,6,6,0,6,0,0,0,0,1,4.372926137265836
39,7,2,1,0,2,0,0,0,0,1,3.797812156528825
81,15,5,1,0,5,0,0,0,0,1,3.946661035566221
26,7,1,1,0,1,0,0,0,0,1,3.690260390968384
35,9,1,2,0,1,0,0,0,0,1,3.8074355167595257
133,28,6,5,2,6,0,0,0,0,1,4.35740562787466
134,23,9,17,28,9,0,0,0,1,1,5.023090127545838
32,9,1,2,2,1,0,0,0,0,0,3.4917292966721747
27,5,4,1,0,4,0,0,0,0,0,3.6339740759971577
40,11,1,3,0,1,0,0,0,0,1,3.815957320949174
22,5,1,1,0,1,0,0,0,0,0,3.4474015047059137
39,9,0,1,0,0,0,0,0,0,0,3.7595105520846346
76,19,3,1,3,3,0,0,0,0,1,3.97249392124768
25,5,1,1,0,1,0,0,0,0,0,3.6994705707972506
34,9,2,2,0,2,0,0,0,0,1,3.7003669748171
114,24,3,3,0,3,0,0,0,0,1,4.107448651336624
69,14,3,53,1,3,0,0,0,0,0,4.061069480007373
148,29,3,5,0,3,0,0,0,0,1,4.206969263138148
37,6,4,1,0,4,0,0,0,0,1,3.600648299809208
25,4,7,2,0,7,0,0,0,0,0,3.753269689515108
140,30,8,17,8,8,0,0,0,0,1,4.753520868996049
30,7,2,1,1,2,0,0,0,0,1,3.774418313907282
27,6,0,1,0,0,0,0,0,0,1,3.570659041013948
54,10,10,2,0,10,0,0,0,0,1,4.439710650151361
81,13,11,2,7,11,0,0,1,0,1,4.561908416855675
44,12,0,1,1,0,0,0,0,0,1,3.6623112137812943
95,21,4,8,0,4,0,0,0,0,1,4.2647908148670215
134,26,2,12,17,2,0,0,1,1,1,4.642348448967627
117,23,6,4,0,6,0,0,0,0,1,4.244171777025921
24,5,0,1,0,0,0,0,0,0,0,3.720175521464345
29,6,1,2,0,1,0,0,0,0,0,3.82783261647491
140,26,5,11,2,5,0,0,1,0,1,4.487717451535971
139,30,6,14,7,6,0,0,0,0,1,4.497995907344717
80,18,0,2,0,0,0,0,0,0,1,3.885318061168865
42,8,4,1,0,4,0,0,0,0,1,3.966738780375732
79,18,4,1,0,4,0,0,0,0,1,4.174007337723023
65,17,4,1,2,4,0,0,0,0,1,4.156565699800092
281,65,30,6,9,30,0,0,0,0,1,4.399980347079063
56,12,0,1,0,0,0,0,0,0,1,4.057117985122876
144,28,9,3,0,9,0,0,0,0,0,4.443809094363053
75,15,2,2,0,2,0,0,0,0,1,4.001464358887071
38,9,4,2,0,4,0,1,0,0,1,4.1658376324234885
141,23,8,15,0,8,0,0,0,0,1,4.634179781106165
156,28,11,3,25,11,0,0,0,1,1,4.736183613731239
137,28,4,4,0,4,0,0,0,0,1,3.9900994254951994
54,10,1,1,0,1,0,0,0,0,1,3.978713372566526
148,24,9,17,40,9,0,0,0,1,1,4.989995618182062
157,28,4,23,23,4,0,0,1,1,1,4.957415691486558
111,22,9,3,0,9,0,0,0,0,1,4.133933213883101
33,6,7,2,0,7,0,0,0,0,1,3.801377452429548
112,19,3,11,20,3,0,0,0,1,1,4.763541337611835
161,32,4,16,16,4,1,0,1,1,1,4.781832396340918
51,8,2,2,12,2,0,0,0,1,1,4.282802490926853
43,8,4,1,0,4,0,0,0,0,1,4.117784231295344
149,27,0,4,17,0,0,0,0,1,1,4.450868953437249
124,26,10,13,23,10,1,0,1,1,1,4.933770710682306
111,22,13,4,0,13,0,0,0,0,1,4.194688001716865
34,9,1,1,0,1,0,0,0,0,0,3.3457192839305274
158,37,6,3,0,6,0,0,0,0,1,4.052473468814703
116,26,0,1,0,0,0,0,0,0,1,3.914578663253256
135,26,3,18,14,3,0,0,1,1,1,4.859678608795334
105,25,5,7,0,5,0,0,0,0,1,4.150704718005013
